@RELATION SVMa
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {door,horn,moto}

@DATA
0.065495,0.049515,3.041690,0.119741,0.158627,0.292930,0.002211,0.094102,-23.253984,0.449944,-1.289240,-0.676141,-1.071883,-0.090507,0.258404,0.999631,-0.364845,-0.068559,-0.374743,0.024496,0.304104,0.010362,0.008528,0.002295,0.014499,0.024558,0.002500,0.002518,0.001560,0.000599,0.000840,0.004678,0.002046,0.007998,0.015698,0.025952,0.444913,0.010937,0.013247,0.078958,0.002091,0.005117,1.068249,0.450272,0.331128,0.237843,0.166200,0.127450,0.167478,0.196623,0.122107,0.087291,0.079998,0.096758,0.088327,0.003028,0.004158,0.001387,0.005897,0.019457,0.001379,0.001972,0.000352,0.000221,0.000425,0.001702,0.001110,0.005131,horn
0.082191,0.055471,2.982593,0.147550,0.192101,0.351469,0.003613,0.097187,-26.047578,0.507022,-1.004525,-0.566663,-0.921202,-0.145818,0.269196,1.082927,-0.206496,-0.115714,-0.282210,-0.076048,0.214187,0.022053,0.015523,0.005726,0.011281,0.021564,0.002228,0.006179,0.001174,0.001177,0.003381,0.005856,0.004988,0.010273,0.043213,0.047400,0.545304,0.034978,0.034590,0.196571,0.003763,0.038371,4.579025,0.885028,0.630189,0.437100,0.339238,0.281506,0.255837,0.193212,0.299255,0.177939,0.297942,0.102989,0.274338,0.017243,0.011322,0.005896,0.003901,0.015525,0.001776,0.009111,0.000445,0.002061,0.004534,0.003818,0.006086,0.005467,horn
0.057350,0.037328,3.106548,0.130915,0.171085,0.333274,0.004580,0.071869,-26.393152,0.673614,-1.044172,-0.769463,-0.396650,0.000706,-0.040068,0.826189,0.491553,-0.251910,-0.534911,-0.222555,0.327702,0.004198,0.001930,0.020443,0.056993,0.003044,0.001112,0.002556,0.000310,0.000539,0.002292,0.004364,0.072937,0.026995,0.015928,0.035559,0.310151,0.021872,0.029872,0.120575,0.004111,0.022097,3.929660,0.284726,0.641463,0.557175,0.214937,0.181189,0.264947,0.365085,0.130247,0.290338,0.277438,0.176751,0.302535,0.003285,0.001815,0.027130,0.040860,0.001420,0.000746,0.003542,0.000321,0.000332,0.002984,0.004399,0.042260,0.012322,horn
0.070811,0.071829,3.214978,0.147883,0.192258,0.421807,0.002589,0.086419,-27.024592,-0.023449,-1.075100,-0.099664,-0.524364,-0.173049,0.148807,0.754593,0.398675,-0.154434,-0.314095,-0.095895,0.184950,0.003124,0.000590,0.012369,0.025405,0.005529,0.001134,0.006167,0.000268,0.000495,0.001920,0.005461,0.054724,0.017766,0.008691,0.029808,0.192320,0.011930,0.016820,0.096957,0.001459,0.007293,1.293628,0.443385,0.388575,0.333945,0.232354,0.325840,0.290994,0.148030,0.132207,0.148608,0.137087,0.143554,0.118021,0.001128,0.000281,0.012923,0.008309,0.004359,0.000638,0.003152,0.000074,0.000235,0.001860,0.004551,0.011711,0.003824,horn
0.127541,0.059112,3.051133,0.164567,0.174065,0.649113,0.002956,0.181397,-26.724907,0.445377,-1.126414,-0.520371,-0.847371,-0.124948,0.190974,0.936888,-0.254919,-0.121790,-0.221207,-0.057284,0.196593,0.014393,0.010254,0.004169,0.011573,0.021210,0.002092,0.004621,0.001706,0.001374,0.001979,0.004744,0.002611,0.007352,0.089522,0.047238,0.530289,0.086736,0.054810,0.629277,0.003849,0.155627,6.209166,0.684936,0.441749,0.232894,0.412892,0.268133,0.282361,0.345152,0.201709,0.176613,0.287999,0.119333,0.218032,0.012863,0.006445,0.004462,0.004173,0.014330,0.001287,0.005605,0.000836,0.001713,0.002822,0.003033,0.003385,0.004434,horn
0.102823,0.049393,2.963862,0.161748,0.185299,0.541185,0.003779,0.145412,-27.372301,0.506698,-1.089602,-0.515763,-0.806464,-0.162161,0.246096,0.911639,-0.153640,-0.077726,-0.272007,-0.005679,0.179431,0.018225,0.009814,0.011058,0.011239,0.019416,0.004212,0.008442,0.001862,0.001977,0.002607,0.006981,0.003658,0.009500,0.065583,0.041417,0.532852,0.063757,0.046423,0.434243,0.003956,0.106258,5.325441,0.984519,0.652558,0.535951,0.315085,0.310695,0.298775,0.400150,0.250072,0.160098,0.278065,0.161140,0.153570,0.015660,0.007649,0.016295,0.005405,0.014491,0.005971,0.011541,0.001480,0.002930,0.004531,0.005599,0.005336,0.005384,horn
0.054102,0.133886,3.174455,0.165559,0.204206,0.415691,0.006615,0.057660,-27.503184,2.200780,0.560650,-0.948956,-0.157411,-0.608432,-0.376229,-0.530074,-0.462036,0.263318,0.299878,0.459315,0.156574,0.003680,0.000783,0.005756,0.002137,0.008132,0.005955,0.033245,0.003186,0.151465,0.006013,0.004192,0.000916,0.047268,0.039428,0.047804,0.206309,0.055813,0.044289,0.273684,0.007170,0.062262,2.890946,0.421284,0.306798,0.468921,0.252098,0.271996,0.300862,0.191308,0.330352,0.194956,0.187071,0.280653,0.112809,0.004428,0.000745,0.006725,0.001969,0.011060,0.007560,0.037674,0.002605,0.057345,0.005940,0.004564,0.000686,0.012320,horn
0.058066,0.045315,2.979954,0.125852,0.174279,0.269454,0.004157,0.080329,-26.847996,0.759006,-1.025855,-0.370918,-0.810316,-0.075071,0.355581,1.038434,-0.148007,-0.007893,-0.268133,0.016476,0.132754,0.022532,0.013555,0.017652,0.010100,0.024249,0.003378,0.012602,0.001282,0.000827,0.001282,0.009510,0.002321,0.012804,0.021213,0.023535,0.432437,0.022372,0.027483,0.056348,0.002316,0.007586,1.877679,0.577222,0.374265,0.361343,0.312145,0.206601,0.235507,0.392086,0.136591,0.175027,0.165812,0.144735,0.120620,0.008096,0.004564,0.019509,0.004650,0.019338,0.003908,0.013519,0.000556,0.000799,0.000763,0.005941,0.001387,0.005250,horn
0.013352,0.048257,2.960187,0.089721,0.170126,0.035394,0.008206,0.010501,-25.600733,3.270205,0.721956,0.844286,0.329363,0.258577,0.013101,-0.023784,-0.152523,-0.028096,-0.134266,-0.116349,0.049337,0.009713,0.000466,0.076423,0.017378,0.039343,0.015088,0.087770,0.000168,0.001201,0.019595,0.057442,0.000429,0.041311,0.007548,0.007790,0.122780,0.026245,0.032060,0.018398,0.004943,0.001057,0.667510,0.205040,0.133287,0.148805,0.129570,0.126994,0.119157,0.115372,0.113598,0.120890,0.103977,0.128388,0.110256,0.006861,0.000356,0.026289,0.009838,0.015888,0.006745,0.035448,0.000133,0.000881,0.007831,0.028236,0.000358,0.005810,moto
0.051709,0.236760,3.033941,0.160080,0.188563,0.405757,0.005550,0.044060,-21.560633,1.597814,0.722170,0.839405,0.469726,0.368826,0.178824,0.277105,0.169182,0.118475,0.155179,-0.031809,0.058165,0.004833,0.001256,0.043419,0.002719,0.075455,0.002300,0.073801,0.000604,0.000938,0.016754,0.022105,0.000932,0.035144,0.015941,0.053693,0.118253,0.016293,0.012160,0.152766,0.003296,0.026686,0.472573,0.397557,0.253774,0.180072,0.163520,0.182374,0.183552,0.152246,0.195324,0.147559,0.176362,0.167578,0.173874,0.005136,0.001171,0.028891,0.002131,0.050085,0.002426,0.044878,0.000462,0.000692,0.017472,0.017910,0.000605,0.007637,moto
0.038793,0.312024,3.081101,0.157358,0.191757,0.258117,0.004355,0.015154,-21.112424,1.955754,0.783928,0.830869,0.452392,0.391037,0.189406,0.358088,0.221929,0.184449,0.107726,-0.101515,0.062192,0.005398,0.000966,0.047244,0.002170,0.098000,0.001895,0.074321,0.000464,0.000890,0.015138,0.023991,0.000947,0.039898,0.009973,0.088850,0.143177,0.015481,0.012964,0.081898,0.003114,0.009278,0.537167,0.280965,0.269918,0.172512,0.141880,0.152545,0.146176,0.144277,0.141355,0.130696,0.138190,0.152544,0.206833,0.002726,0.000615,0.034260,0.001373,0.049835,0.001714,0.046145,0.000338,0.000583,0.019485,0.018723,0.000670,0.005496,moto
0.028107,0.279703,3.026177,0.142403,0.191909,0.169277,0.003569,0.008054,-21.614659,2.004563,1.021268,1.030420,0.451961,0.266757,0.259567,0.474513,0.217432,0.212293,0.298012,0.006719,0.025683,0.003102,0.000332,0.055327,0.002392,0.074994,0.001019,0.101820,0.000214,0.000494,0.011910,0.029733,0.000686,0.037240,0.004635,0.043401,0.073440,0.011144,0.014482,0.030238,0.001620,0.001861,0.429518,0.178759,0.197149,0.202740,0.127800,0.129193,0.141044,0.134403,0.134965,0.117199,0.158600,0.136680,0.137794,0.002468,0.000234,0.026286,0.001499,0.027351,0.000827,0.035351,0.000128,0.000353,0.007963,0.011513,0.000482,0.004852,moto
0.041768,0.181904,2.777395,0.150003,0.187327,0.279332,0.009124,0.029621,-22.466180,1.732497,0.913805,1.082226,0.512373,0.373016,0.259120,0.328323,0.212462,0.113810,0.228809,0.021141,0.205912,0.002876,0.000703,0.058786,0.001877,0.080426,0.001191,0.090004,0.000552,0.000658,0.006054,0.036556,0.000477,0.037299,0.018865,0.080936,0.210200,0.024324,0.017881,0.179102,0.004666,0.035824,0.890224,0.339106,0.260389,0.189042,0.208903,0.189289,0.125896,0.128361,0.169188,0.164436,0.196924,0.136263,0.152582,0.002534,0.000814,0.024784,0.001422,0.040566,0.000912,0.030604,0.000663,0.000553,0.004481,0.022918,0.000408,0.004557,moto
0.018396,0.058508,3.100521,0.109756,0.182055,0.094389,0.007494,0.018949,-23.488157,3.041877,0.365217,0.453741,0.386820,0.441683,0.195788,0.165992,0.052264,-0.142465,-0.054269,0.104466,0.155908,0.008185,0.001403,0.064858,0.007793,0.033424,0.004331,0.041117,0.000602,0.002368,0.056226,0.044275,0.001191,0.035162,0.004624,0.006812,0.077282,0.015465,0.017456,0.042535,0.002745,0.005638,0.461252,0.260449,0.160101,0.117314,0.144014,0.131056,0.118757,0.123475,0.135649,0.126918,0.109340,0.124350,0.105284,0.005527,0.000962,0.029983,0.006217,0.018898,0.002354,0.025013,0.000466,0.001481,0.022081,0.023534,0.000835,0.005529,moto
0.016857,0.021100,2.905243,0.074290,0.150241,0.036695,0.005154,0.018505,-27.082806,3.693676,0.333905,0.200764,-0.148332,0.138968,-0.110854,-0.014263,-0.237635,-0.117230,-0.176042,-0.010284,0.013435,0.026649,0.002198,0.055428,0.032332,0.039040,0.029098,0.035445,0.000620,0.006767,0.019251,0.030781,0.004306,0.026217,0.003122,0.010212,0.114008,0.017909,0.028208,0.014411,0.002030,0.002082,0.627605,0.214060,0.147500,0.172790,0.141263,0.106790,0.139251,0.129705,0.110094,0.153355,0.125735,0.122252,0.110043,0.016733,0.001738,0.024764,0.018069,0.020829,0.020980,0.013464,0.000550,0.005569,0.009816,0.014213,0.003574,0.003975,moto
0.032314,0.045951,3.145555,0.125886,0.171608,0.126486,0.007515,0.047067,-26.095452,3.601378,0.480249,-0.050834,-0.291305,0.129214,0.270595,0.172318,-0.145528,-0.263420,-0.334934,-0.030295,-0.025770,0.027380,0.002783,0.062077,0.019890,0.031185,0.006615,0.024323,0.000310,0.002875,0.019732,0.051106,0.005543,0.031325,0.019023,0.007258,0.100737,0.040710,0.034320,0.077727,0.006374,0.037392,1.375661,0.320482,0.174971,0.152941,0.144719,0.116754,0.113367,0.120880,0.116701,0.111803,0.107341,0.109914,0.092406,0.021757,0.002078,0.021226,0.012099,0.014769,0.005088,0.012410,0.000240,0.002007,0.015658,0.022521,0.003614,0.004853,moto
0.031316,0.024835,2.786787,0.110253,0.170134,0.270171,0.008915,0.039401,-25.619205,1.673773,0.106695,0.266041,0.144375,-0.101034,0.310215,0.208639,0.197444,0.146024,0.130334,0.156920,0.218212,0.003207,0.001811,0.088327,0.002622,0.013720,0.002652,0.190196,0.002092,0.001946,0.004761,0.044194,0.001373,0.063140,0.016997,0.020568,0.199424,0.018914,0.022311,0.177112,0.005371,0.030459,1.143883,0.452147,0.208983,0.172840,0.177618,0.196316,0.170704,0.195806,0.167472,0.171826,0.154173,0.117155,0.141295,0.002352,0.001434,0.054118,0.002816,0.012188,0.002739,0.073038,0.003046,0.001921,0.004248,0.035105,0.000965,0.017706,moto
0.029696,0.034444,2.976709,0.105114,0.162603,0.234947,0.009583,0.034347,-23.844133,1.810886,0.017409,0.199118,0.350169,-0.044974,0.209018,0.054944,0.155158,0.140046,0.094717,0.179773,0.171342,0.004667,0.001873,0.091410,0.005939,0.019605,0.005201,0.099085,0.002500,0.005105,0.009842,0.077221,0.002653,0.051117,0.013426,0.024535,0.194713,0.013387,0.020310,0.127432,0.006783,0.022095,0.896347,0.306918,0.192037,0.175988,0.161730,0.175087,0.189532,0.251890,0.179589,0.149934,0.145577,0.142037,0.147826,0.003084,0.001606,0.066364,0.008519,0.016381,0.008526,0.083047,0.002693,0.006101,0.014588,0.056685,0.002694,0.017582,moto
0.031609,0.068316,2.885757,0.122642,0.182847,0.249763,0.013804,0.030656,-24.965162,1.453382,0.365447,0.677845,0.323543,0.321455,0.057873,0.470182,0.164572,0.160596,0.230317,0.267760,0.151283,0.002405,0.000739,0.075128,0.002132,0.009524,0.001264,0.129109,0.001036,0.000820,0.003255,0.110392,0.000823,0.057452,0.010821,0.045142,0.245490,0.017884,0.025660,0.095021,0.009101,0.020049,1.444818,0.419821,0.201237,0.181193,0.202943,0.191830,0.180959,0.192338,0.202830,0.154421,0.155924,0.183475,0.137240,0.002521,0.000590,0.045878,0.002459,0.007756,0.001030,0.087009,0.000953,0.000680,0.002689,0.065642,0.000717,0.011546,moto
